"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Fe","Cu","Br","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER14L","HER14L_2A","HER14L_2A_2",1.6,168.88,6.64,1,25557,65410,1.37,0.349514563106796,0.446601941747573,6.51456310679612,1,60.504854368932,0.87378640776699,19.3300970873786,19.8155339805825,433.747572815534,78.1747572815534,52728,5.54843517138599,0.180230996508192,-0.806087591740541,-2.68012774048259,-1.87404014874205
"HER14L","HER14L_2A","HER14L_2A_3",1.7,176.08,6.65,1,25943,68375,1.35,0.298136645962733,0.341614906832298,5.09316770186335,1,59.4223602484472,0.552795031055901,10.8819875776398,12.3167701863354,273.863354037267,49.0372670807453,51987,5.58480050664978,0.179057425383289,-1.07407117975199,-2.70197115502583,-1.62789997527384
"HER14L","HER14L_2A","HER14L_2A_4",1.8,183.27,6.66,1,25354,65492,1.27,0.145,0.47,2.81,1,46.045,0.345,7.93,8.375,213.515,38.465,50396,5.55089041986221,0.180151277427815,-0.755022584278033,-1.78820706762369,-1.03318448334565
"HER14L","HER14L_2A","HER14L_2A_5",1.9,190.47,6.69,1,25677,65686,1.42,0.112244897959184,0.551020408163265,8.89795918367347,1,85,NA,20.2142857142857,17.3163265306122,436.438775510204,78.8673469387755,50500,5.53383361366283,0.18070655350588,-0.595983432106298,-2.78180537734471,-2.18582194523841
"HER14L","HER14L_2A","HER14L_2A_6",2,197.67,6.72,1,25548,67553,1.25,0.448598130841121,0.598130841121495,7.77570093457944,1,104.130841121495,0.981308411214953,17.1588785046729,18.588785046729,389.859813084112,72.2803738317757,49449,5.39371605896043,0.185400934915498,-0.513945751102234,-2.56494935746154,-2.0510036063593
"HER14L","HER14L_2A","HER14L_2A_7",2.1,204.86,6.74,1,25227,65931,1.51,0.232954545454545,0.193181818181818,3.38636363636364,1,61.4772727272727,0.465909090909091,9.38636363636364,10.1534090909091,231.3125,45.3352272727273,48690,5.10226845469357,0.195991255434649,-1.64412347042199,-2.86388014244919,-1.2197566720272
"HER14L","HER14L_2A","HER14L_2A_8",2.2,212.06,6.75,1,25500,65637,1.31,0.248407643312102,0.254777070063694,2.81528662420382,1,59.7197452229299,0.0573248407643312,11.6815286624204,10.1592356687898,268.178343949045,51.1528662420382,50135,5.2426845971859,0.190741972259168,-1.36736635123437,-2.40243042796376,-1.03506407672939
"HER14L","HER14L_2A","HER14L_2A_9",2.3,219.26,6.76,1,25948,65568,1.44,0.194285714285714,0.205714285714286,2.36,1,46.5257142857143,NA,10.96,8.46285714285714,246.234285714286,47.6685714285714,51433,5.16554783025653,0.193590308881205,-1.5812670354674,-2.43992865450492,-0.858661619037519
"HER14L","HER14L_2A","HER14L_2A_10",2.4,226.45,6.77,1,27986,68909,1.26,0.523809523809524,0.583333333333333,6.01190476190476,1,78.5833333333333,1.26190476190476,25.5357142857143,18.797619047619,559.488095238095,100.285714285714,55421,5.57894112060779,0.179245483754282,-0.538996500732687,-2.33273813116473,-1.79374163043205
"HER14L","HER14L_2A","HER14L_2A_11",2.5,233.65,6.79,1,28354,70501,1.42,0.299212598425197,0.204724409448819,3.77165354330709,1,57.7716535433071,1.19685039370079,17.496062992126,8.88188976377953,380.944881889764,65.1259842519685,56651,5.84935316164914,0.17095907399752,-1.58609054843711,-2.91360405938943,-1.32751351095232
"HER14L","HER14L_2A","HER14L_2A_12",2.6,240.85,6.79,1,27550,69187,1.64,0.575757575757576,0.46969696969697,9.18181818181818,1,93.8939393939394,0.575757575757576,31.6818181818182,18.030303030303,742.818181818182,124.227272727273,57225,5.97950969630443,0.167237792191898,-0.755667537541279,-2.97289278158417,-2.21722524404289
"HER14L","HER14L_2A","HER14L_2A_13",2.7,248.04,6.79,1,27949,70246,1.26,0.654320987654321,0.469135802469136,7.2962962962963,1,78.8641975308642,1.93827160493827,24.2716049382716,15.1234567901235,607.407407407407,101.950617283951,57458,5.9578590457738,0.167845528455285,-0.756862994946053,-2.74422985767971,-1.98736686273366
"HER14L","HER14L_2A","HER14L_2A_14",2.8,255.24,6.79,1,28404,72499,1.47,0.441666666666667,0.358333333333333,6.075,1,62.0083333333333,1.53333333333333,18.9,10.1333333333333,414.966666666667,69.2833333333333,58110,5.98941544382969,0.166961201702948,-1.02629162708848,-2.8304736163151,-1.80418198922661
"HER14L","HER14L_2A","HER14L_2A_15",2.9,262.44,6.79,1,28269,71965,1.46,0.763157894736842,0.881578947368421,8.71052631578947,1,85.9078947368421,0.565789473684211,30.7763157894737,15.7105263157895,659.657894736842,107.723684210526,58321,6.12361060217418,0.163302349702797,-0.126040720895365,-2.29057293654604,-2.16453221565068
"HER14L","HER14L_2A","HER14L_2A_16",3,269.63,6.79,1,28496,73171,1.59,0.383928571428571,0.455357142857143,5.42857142857143,1,60.5089285714286,1.05357142857143,20.9375,8.61607142857143,456.339285714286,76.5446428571429,59683,5.96174034760294,0.167736255135981,-0.786673238570769,-2.47834924924184,-1.69167601067107
"HER14L","HER14L_2A","HER14L_2A_17",3.1,276.83,6.79,1,29090,72953,1.39,0.182432432432432,0.290540540540541,2.93918918918919,1,44.7702702702703,0.986486486486487,15.2297297297297,5.68918918918919,353.074324324324,57.5,60765,6.14042303172738,0.162855229164673,-1.23601215807055,-2.31414591539512,-1.07813375732457
"HER14L","HER14L_2A","HER14L_2A_18",3.2,284.03,6.8,1,29874,74705,1.49,0.982456140350877,0.631578947368421,6.63157894736842,1,119.017543859649,0.543859649122807,39.5087719298246,11.7543859649123,946.684210526316,149.771929824561,62498,6.32083870212018,0.158206853097608,-0.45953232937844,-2.35137525716348,-1.89184292778504
